Year,Brand,Category,Sales
2008,D,SUV,19027
2009,D,SUV,15411
2010,D,SUV,39594
2011,D,SUV,47232
2007,G,Compact,120291
2008,G,Compact,109957
2009,G,Compact,96466
2010,G,Compact,106353
2011,G,Compact,102417
2007,G,Midsize,57575
2008,G,Midsize,52590
2009,G,Midsize,34866
2010,G,Midsize,35662
2011,G,Midsize,35711
2007,G,MPV,13717
2008,G,MPV,22021
2009,G,MPV,18488
2010,G,MPV,15683
2011,G,MPV,19155
2007,G,Subcompact,2021
2008,G,Subcompact,2221
2009,G,Subcompact,2321
2010,G,Subcompact,3021
2011,G,Subcompact,13952
2007,G,SUV,41653
2008,G,SUV,26811
2009,G,SUV,20583
2010,G,SUV,28788
2011,G,SUV,35641
2007,B,Midsize,473108
2008,B,Midsize,436617
2009,B,Midsize,356824
2010,B,Midsize,327804
2011,B,Midsize,308510
2007,B,Subcompact,371390
2008,B,Subcompact,351007
2009,B,Subcompact,296874
2010,B,Subcompact,266082
2011,B,Subcompact,240259
2007,B,Subcompact,84799
2008,B,Subcompact,102328
2009,B,Subcompact,63743
2010,B,Subcompact,40076
2011,B,Subcompact,32704
2007,B,SUV,87718
2008,B,SUV,47878
2009,B,SUV,19675
2010,B,SUV,46531
2011,B,SUV,44316
2007,B,SUV,127878
2008,B,SUV,104661
2009,B,SUV,83118
2010,B,SUV,92121
2011,B,SUV,101252
2007,B,SUV,3251
2008,B,SUV,3801
2009,B,SUV,2261
2010,B,SUV,1807
2011,B,SUV,1662
2007,B,SUV,172752
2008,B,SUV,137020
2009,B,SUV,149088
2010,B,SUV,170877
2011,B,SUV,132237
2007,H,Compact,16399
2008,H,Compact,15338
2009,H,Compact,15752
2010,H,Compact,28286
2011,H,Compact,34706
2007,H,Midsize,2105
2008,H,Midsize,2105
2009,H,Midsize,23872
2010,H,Midsize,27987
2011,H,Midsize,29502
2007,H,Midsize,37183
2008,H,Midsize,30034
2009,H,Midsize,11138
2010,H,Midsize,12497
2011,H,Midsize,22835
2007,H,Sporty,12744
2008,H,Sporty,12837
2009,H,Sporty,7204
2010,H,Sporty,6690
2011,H,Sporty,7533
2007,H,Subcompact,31021
2008,H,Subcompact,26477
2009,H,Subcompact,14085
2010,H,Subcompact,16537
2011,H,Subcompact,6468
2007,H,SUV,8864
2008,H,SUV,8864
2009,H,SUV,13903
2010,H,SUV,20946
2011,H,SUV,25990
2007,H,SUV,8812
2008,H,SUV,6755
2009,H,SUV,4392
2010,H,SUV,4713
2011,H,SUV,7535
